#TYPE System.Management.Automation.PSCustomObject,,,
URL,Status,DateAdded,Notes
178.63.173.115,Bad,7/25/2015,
178.63.2.21,Bad,7/25/2015,
178.63.226.203,Bad,7/25/2015,
178.63.247.135,Bad,7/25/2015,
178.73.224.97,Bad,7/25/2015,
178.73.225.97,Bad,7/25/2015,
178.73.225.98,Bad,7/25/2015,
178.73.227.96,Bad,7/25/2015,
178.73.229.154,Bad,7/25/2015,
178.73.230.97,Bad,7/25/2015,
178.73.231.96,Bad,7/25/2015,
178.73.231.98,Bad,7/25/2015,
178.73.240.94,Bad,7/25/2015,
178.73.245.59,Bad,7/25/2015,
178.79.160.170,Bad,7/25/2015,
180.235.132.29,Bad,7/25/2015,
180.235.150.72,Bad,7/25/2015,
182.160.149.130,Bad,7/25/2015,
184.154.140.38,Bad,7/25/2015,
184.154.49.74,Bad,7/25/2015,
184.154.76.237,Bad,7/25/2015,
184.168.197.1,Bad,7/25/2015,
184.168.254.1,Bad,7/25/2015,
184.172.168.32,Bad,7/25/2015,
184.172.185.191,Bad,7/25/2015,
184.173.80.199,Bad,7/25/2015,
185.10.208.153,Bad,7/25/2015,
186.190.213.10,Bad,7/25/2015,
186.202.132.73,Bad,7/25/2015,
186.202.136.206,Bad,7/25/2015,
186.202.16.186,Bad,7/25/2015,
186.227.162.3,Bad,7/25/2015,
187.108.197.177,Bad,7/25/2015,
187.16.23.136,Bad,7/25/2015,
187.19.96.13,Bad,7/25/2015,
187.45.193.223,Bad,7/25/2015,
187.45.210.13,Bad,7/25/2015,
187.85.160.106,Bad,7/25/2015,
188.120.237.117,Bad,7/25/2015,
188.127.248.54,Bad,7/25/2015,
188.127.249.241,Bad,7/25/2015,
188.127.254.158,Bad,7/25/2015,
188.138.1.9,Bad,7/25/2015,
188.165.202.204,Bad,7/25/2015,
188.190.98.132,Bad,7/25/2015,
188.190.98.144,Bad,7/25/2015,
188.190.98.231,Bad,7/25/2015,
188.247.131.92,Bad,7/25/2015,
188.40.168.128,Bad,7/25/2015,
188.64.184.32,Bad,7/25/2015,
188.65.112.47,Bad,7/25/2015,
188.65.74.161,Bad,7/25/2015,
188.65.74.162,Bad,7/25/2015,
188.65.74.163,Bad,7/25/2015,
188.65.74.166,Bad,7/25/2015,
188.65.74.167,Bad,7/25/2015,
188.65.74.168,Bad,7/25/2015,
188.65.74.169,Bad,7/25/2015,
188.65.74.170,Bad,7/25/2015,
188.93.210.133,Bad,7/25/2015,
188.93.210.200,Bad,7/25/2015,
188.93.211.156,Bad,7/25/2015,
188.93.211.57,Bad,7/25/2015,
188.95.159.100,Bad,7/25/2015,
188.95.48.109,Bad,7/25/2015,
188.95.53.17,Bad,7/25/2015,
189.108.44.42,Bad,7/25/2015,
190.196.69.211,Bad,7/25/2015,
190.224.162.208,Bad,7/25/2015,
190.228.29.16,Bad,7/25/2015,
190.228.29.77,Bad,7/25/2015,
190.228.29.81,Bad,7/25/2015,
192.111.144.10,Bad,7/25/2015,
192.111.144.12,Bad,7/25/2015,
192.111.144.13,Bad,7/25/2015,
192.117.232.137,Bad,7/25/2015,
192.155.81.9,Bad,7/25/2015,
192.155.83.191,Bad,7/25/2015,
192.34.58.151,Bad,7/25/2015,
192.41.60.10,Bad,7/25/2015,
193.0.179.20,Bad,7/25/2015,
193.104.146.12,Bad,7/25/2015,
193.104.146.77,Bad,7/25/2015,
193.105.174.42,Bad,7/25/2015,
193.105.207.21,Bad,7/25/2015,
193.105.240.59,Bad,7/25/2015,
193.107.172.11,Bad,7/25/2015,
193.107.19.80,Bad,7/25/2015,
193.169.188.3,Bad,7/25/2015,
193.178.146.235,Bad,7/25/2015,
193.178.172.60,Bad,7/25/2015,
193.200.173.3,Bad,7/25/2015,
193.200.173.4,Bad,7/25/2015,
193.200.255.28,Bad,7/25/2015,
193.203.119.100,Bad,7/25/2015,
193.86.3.170,Bad,7/25/2015,
194.103.222.41,Bad,7/25/2015,
194.146.224.100,Bad,7/25/2015,
194.183.224.73,Bad,7/25/2015,
194.186.208.8,Bad,7/25/2015,
194.186.88.34,Bad,7/25/2015,
194.186.88.38,Bad,7/25/2015,
194.186.88.45,Bad,7/25/2015,
194.247.12.39,Bad,7/25/2015,
194.247.58.174,Bad,7/25/2015,
194.247.58.51,Bad,7/25/2015,
194.247.58.95,Bad,7/25/2015,
194.247.58.96,Bad,7/25/2015,
194.28.112.3,Bad,7/25/2015,
194.28.115.150,Bad,7/25/2015,
194.32.151.185,Bad,7/25/2015,
194.44.166.162,Bad,7/25/2015,
194.44.49.45,Bad,7/25/2015,
194.88.218.182,Bad,7/25/2015,
195.190.12.245,Bad,7/25/2015,
195.208.1.112,Bad,7/25/2015,
195.210.47.208,Bad,7/25/2015,
195.211.196.179,Bad,7/25/2015,
195.226.197.49,Bad,7/25/2015,
195.226.197.50,Bad,7/25/2015,
195.226.197.51,Bad,7/25/2015,
195.234.124.40,Bad,7/25/2015,
195.234.124.41,Bad,7/25/2015,
195.242.182.30,Bad,7/25/2015,
195.244.128.9,Bad,7/25/2015,
195.28.26.20,Bad,7/25/2015,
195.70.35.215,Bad,7/25/2015,
195.8.196.34,Bad,7/25/2015,
195.80.151.59,Bad,7/25/2015,
195.88.139.78,Bad,7/25/2015,
195.93.180.252,Bad,7/25/2015,
198.23.139.199,Bad,7/25/2015,
198.27.64.67,Bad,7/25/2015,
198.50.194.26,Bad,7/25/2015,
198.74.54.28,Bad,7/25/2015,
198.77.71.192,Bad,7/25/2015,
199.167.202.51,Bad,7/25/2015,
199.188.102.126,Bad,7/25/2015,
199.223.209.169,Bad,7/25/2015,
199.231.210.167,Bad,7/25/2015,
199.237.192.212,Bad,7/25/2015,
199.238.181.161,Bad,7/25/2015,
199.27.134.17,Bad,7/25/2015,
199.59.241.234,Bad,7/25/2015,
200.110.156.73,Bad,7/25/2015,
200.122.168.229,Bad,7/25/2015,
200.13.244.245,Bad,7/25/2015,
200.147.1.41,Bad,7/25/2015,
200.147.33.17,Bad,7/25/2015,
200.147.33.19,Bad,7/25/2015,
200.147.33.21,Bad,7/25/2015,
200.149.77.223,Bad,7/25/2015,
200.149.77.224,Bad,7/25/2015,
200.149.77.228,Bad,7/25/2015,
200.219.224.48,Bad,7/25/2015,
200.219.245.158,Bad,7/25/2015,
200.58.111.26,Bad,7/25/2015,
200.58.112.225,Bad,7/25/2015,
200.58.119.150,Bad,7/25/2015,
200.58.119.30,Bad,7/25/2015,
200.58.119.89,Bad,7/25/2015,
200.58.120.104,Bad,7/25/2015,
200.58.123.105,Bad,7/25/2015,
200.58.124.129,Bad,7/25/2015,
200.59.119.132,Bad,7/25/2015,
200.63.44.192,Bad,7/25/2015,
200.72.1.94,Bad,7/25/2015,
200.80.97.174,Bad,7/25/2015,
200.98.197.57,Bad,7/25/2015,
200.98.197.99,Bad,7/25/2015,
